matricule;email;nom;prenom;telephone;role;organisation_code;service;fonction;actif
MAT-2015-0001;jc.mvondo@mintp.cm;MVONDO;Jean-Claude;+237 677 10 20 01;CABINET;MINTP-CABINET;Cabinet du Ministre;Conseiller technique du Ministre;TRUE
MAT-2012-0002;p.ngassa@mintp.cm;NGASSA;Paul;+237 677 10 20 02;SG;MINTP-SG;Secrétariat Général;Secrétaire Général du MINTP;TRUE
MAT-2016-0003;m.abena@mintp.cm;ABENA;Marie;+237 677 10 20 03;APPUI;MINTP-SG;Secrétariat Général;Secrétaire de direction;TRUE
MAT-2018-0004;f.tchinda@mintp.cm;TCHINDA;François;+237 677 10 20 04;APPUI;MINTP-SG;Secrétariat Général;Assistant administratif;TRUE
MAT-2019-0005;g.bekomo@mintp.cm;BEKOMO;Grace;+237 677 10 20 05;AGENT;MINTP-CABINET;Cabinet du Ministre;Chargée de mission;TRUE
MAT-2014-0006;e.fotso@mintp.cm;FOTSO;Emmanuel;+237 677 20 10 01;SUPER_ADMIN;DSI;Direction des Systèmes d'Information;Administrateur système;TRUE
MAT-2013-0007;p.nguemo@mintp.cm;NGUEMO;Patrice;+237 677 20 10 02;SUPER_ADMIN;DSI;Direction des Systèmes d'Information;Ingénieur infrastructure;TRUE
MAT-2017-0008;c.essomba@mintp.cm;ESSOMBA;Claude;+237 677 20 10 03;ADMIN_METIER;DSI;Direction des Systèmes d'Information;Référent applicatif FluxPro;TRUE
MAT-2020-0009;s.mbiya@mintp.cm;MBIYA;Sandra;+237 677 20 10 04;AGENT;DSI;Direction des Systèmes d'Information;Technicienne support utilisateurs;TRUE
MAT-2016-0010;m.ondoa@mintp.cm;ONDOA;Martin;+237 677 20 10 05;LECTEUR;DSI;Direction des Systèmes d'Information;Contrôleur audit SI;TRUE
MAT-2010-0011;h.fouda@mintp.cm;FOUDA;Hamadou;+237 677 30 10 01;DIRECTEUR;DAG;Direction des Affaires Générales;Directeur des Affaires Générales;TRUE
MAT-2015-0012;e.ngono@mintp.cm;NGONO;Estelle;+237 677 30 10 02;ADMIN_METIER;DAG-COURRIER;Service Courrier;Référent courrier — Administrateur métier;TRUE
MAT-2012-0013;a.mvogo@mintp.cm;MVOGO;Alain;+237 677 30 10 03;CHEF_SERVICE;DAG-COURRIER;Service Courrier;Chef du Service Courrier;TRUE
MAT-2014-0014;p.njie@mintp.cm;NJIE;Patrick;+237 677 30 10 04;CHEF_SERVICE;DAG-ARCHIVES;Service Archives;Chef du Service Archives;TRUE
MAT-2016-0015;s.eboue@mintp.cm;EBOUE;Sylvie;+237 677 30 10 05;CHEF_SERVICE;DAG;Sous-direction Administration;Chef de la Sous-direction Administration;TRUE
MAT-2018-0016;r.tchakoute@mintp.cm;TCHAKOUTE;René;+237 677 30 11 01;APPUI;DAG-COURRIER;Service Courrier;Cadre d'appui — Réception courrier;TRUE
MAT-2019-0017;c.abanda@mintp.cm;ABANDA;Chantal;+237 677 30 11 02;APPUI;DAG-COURRIER;Service Courrier;Cadre d'appui — Registre courrier;TRUE
MAT-2017-0018;j.mengue@mintp.cm;MENGUE;Joseph;+237 677 30 11 03;APPUI;DAG-COURRIER;Service Courrier;Archiviste courrier entrant;TRUE
MAT-2020-0019;b.nkeng@mintp.cm;NKENG;Brigitte;+237 677 30 11 04;APPUI;DAG-ARCHIVES;Service Archives;Archiviste documentaire;TRUE
MAT-2018-0020;d.atangana@mintp.cm;ATANGANA;Didier;+237 677 30 12 01;AGENT;DAG-COURRIER;Service Courrier;Agent de traitement courrier;TRUE
MAT-2019-0021;a.bell@mintp.cm;BELL;Augustin;+237 677 30 12 02;AGENT;DAG-COURRIER;Service Courrier;Agent de traitement courrier;TRUE
MAT-2020-0022;y.djoukam@mintp.cm;DJOUKAM;Yvette;+237 677 30 12 03;AGENT;DAG-COURRIER;Service Courrier;Agent de traitement courrier;TRUE
MAT-2017-0023;s.etoga@mintp.cm;ETOGA;Samuel;+237 677 30 12 04;AGENT;DAG-COURRIER;Service Courrier;Agent de liaison inter-directions;TRUE
MAT-2018-0024;l.kamdem@mintp.cm;KAMDEM;Lucie;+237 677 30 12 05;AGENT;DAG-COURRIER;Service Courrier;Agent de rédaction des réponses;TRUE
MAT-2019-0025;o.marc@mintp.cm;MARC;Olivier;+237 677 30 12 06;AGENT;DAG-COURRIER;Service Courrier;Agent de suivi des transmissions;TRUE
MAT-2021-0026;c.ndoumbe@mintp.cm;NDOUMBE;Christelle;+237 677 30 12 07;AGENT;DAG-COURRIER;Service Courrier;Agent de classement;TRUE
MAT-2018-0027;f.onaha@mintp.cm;ONOHA;Fabrice;+237 677 30 12 08;AGENT;DAG-COURRIER;Service Courrier;Agent courrier urgent;TRUE
MAT-2019-0028;h.siaga@mintp.cm;SIAGA;Henriette;+237 677 30 12 09;AGENT;DAG-COURRIER;Service Courrier;Agent de distribution interne;TRUE
MAT-2020-0029;g.tongmo@mintp.cm;TONGMO;Gilles;+237 677 30 12 10;AGENT;DAG-COURRIER;Service Courrier;Agent de numérisation;TRUE
MAT-2017-0030;r.wandji@mintp.cm;WANDJI;Rosine;+237 677 30 12 11;AGENT;DAG-ARCHIVES;Service Archives;Agent d'archivage;TRUE
MAT-2018-0031;d.yembe@mintp.cm;YEMBE;David;+237 677 30 12 12;AGENT;DAG-ARCHIVES;Service Archives;Agent de conservation documentaire;TRUE
MAT-2019-0032;m.zang@mintp.cm;ZANG;Michelle;+237 677 30 12 13;AGENT;DAG;Sous-direction Administration;Agent administratif;TRUE
MAT-2020-0033;e.biye@mintp.cm;BIYE;Ernest;+237 677 30 12 14;AGENT;DAG;Sous-direction Administration;Agent de gestion du parc automobile;TRUE
MAT-2015-0034;j.mbock@mintp.cm;MBOCK;Jean;+237 677 30 13 01;LECTEUR;DAG;Direction des Affaires Générales;Contrôleur interne — lecture seule;TRUE
MAT-2016-0035;c.nguini@mintp.cm;NGUINI;Claire;+237 677 30 13 02;LECTEUR;DAG;Direction des Affaires Générales;Inspecteur — consultation rapports;TRUE
