ref_registre;direction;type_dossier;type_libelle;objet;priorite;date_reception;date_cloture;delai_total_jours;delai_cible_jo;responsable_identifie;respect_delai_interne;maillon_blocage;jours_au_blocage;source_donnee;observations
REG-DRTP-C-2024-0001;DRTP-C;AUTH-TRAV;Autorisation travaux;Raccordement reseau eau sur RN10 Mfoundi;Normal;2024-01-05;2024-02-11;28;18;oui;non;Delivrance autorisation;26;Cahier transmission;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0002;DRTP-C;AUTH-TRAV;Autorisation travaux;Pose conduite telecoms en bordure voirie;Normal;2024-02-08;2024-03-13;27;18;non;oui;Validation directeur DRTP;21;Cahier transmission;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0003;DRTP-C;AUTH-TRAV;Autorisation travaux;Ouverture tranchee entreprise ENEO secteur Lekie;Urgent;2024-03-12;2024-04-03;19;18;non;non;Delivrance autorisation;15;Registre papier courrier;Retard non signale
REG-DRTP-C-2024-0004;DRTP-C;AUTH-TRAV;Autorisation travaux;Autorisation franchissement canalisation;Normal;2024-04-03;2024-05-18;37;18;oui;oui;Instruction technique;20;Email sans suivi;Absence visa intermediaire
REG-DRTP-C-2024-0005;DRTP-C;AUTH-TRAV;Autorisation travaux;Travaux raccordement station-service;Normal;2024-05-17;2024-06-07;18;18;oui;non;Delivrance autorisation;10;Email sans suivi;Absence visa intermediaire
REG-DRTP-C-2024-0006;DRTP-C;AUTH-TRAV;Autorisation travaux;Installation panneaux publicitaires bord route;Urgent;2024-06-09;2024-07-18;31;18;non;non;Instruction technique;21;Cahier transmission;Retard non signale
REG-DRTP-C-2024-0007;DRTP-C;AUTH-TRAV;Autorisation travaux;Pose fibre optique quartier administratif;Urgent;2024-07-22;2024-09-09;37;18;non;non;Visite terrain;18;Registre papier courrier;
REG-DRTP-C-2024-0008;DRTP-C;AUTH-TRAV;Autorisation travaux;Deviation provisoire circulation chantier;Normal;2024-08-14;2024-09-18;26;18;oui;non;Reception demande;14;Email sans suivi;Absence visa intermediaire
REG-DRTP-C-2024-0009;DRTP-C;AUTH-TRAV;Autorisation travaux;Travaux assainissement bordure chaussee;Urgent;2024-09-06;2024-10-21;37;18;oui;non;Instruction technique;17;Classeur Excel partage;Retard non signale
REG-DRTP-C-2024-0010;DRTP-C;AUTH-TRAV;Autorisation travaux;Autorisation occupation temporaire domaine public;Normal;2024-10-19;2024-12-20;45;18;non;non;Delivrance autorisation;27;Cahier transmission;Retard non signale
REG-DRTP-C-2024-0011;DRTP-C;AUTH-TRAV;Autorisation travaux;Raccordement reseau eau sur RN10 Mfoundi;Normal;2024-11-11;2024-12-16;27;18;non;oui;Validation directeur DRTP;12;Registre papier courrier;Absence visa intermediaire
REG-DRTP-C-2024-0012;DRTP-C;AUTH-TRAV;Autorisation travaux;Pose conduite telecoms en bordure voirie;Normal;2024-12-04;2024-01-08;26;18;non;oui;Validation directeur DRTP;8;Email sans suivi;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0013;DRTP-C;AUTH-TRAV;Autorisation travaux;Ouverture tranchee entreprise ENEO secteur Lekie;Normal;2024-01-05;2024-02-08;25;18;non;non;Delivrance autorisation;12;Email sans suivi;Circuit incomplet sur registre
REG-DRTP-C-2024-0014;DRTP-C;AUTH-TRAV;Autorisation travaux;Autorisation franchissement canalisation;Urgent;2024-02-08;2024-03-22;36;18;non;oui;Reception demande;27;Email sans suivi;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0015;DRTP-C;AUTH-TRAV;Autorisation travaux;Travaux raccordement station-service;Urgent;2024-03-12;2024-04-27;37;18;non;oui;Visite terrain;14;Classeur Excel partage;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0016;DRTP-C;AUTH-TRAV;Autorisation travaux;Installation panneaux publicitaires bord route;Normal;2024-04-03;2024-05-23;42;18;non;non;Delivrance autorisation;24;Registre papier courrier;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0017;DRTP-C;AUTH-TRAV;Autorisation travaux;Pose fibre optique quartier administratif;Urgent;2024-05-17;2024-07-03;36;18;oui;oui;Validation directeur DRTP;22;Classeur Excel partage;
REG-DRTP-C-2024-0018;DRTP-C;AUTH-TRAV;Autorisation travaux;Deviation provisoire circulation chantier;Urgent;2024-06-09;2024-08-10;45;18;oui;oui;Visite terrain;17;Cahier transmission;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0019;DRTP-C;AUTH-TRAV;Autorisation travaux;Travaux assainissement bordure chaussee;Normal;2024-07-22;2024-09-06;34;18;non;non;Delivrance autorisation;25;Registre papier courrier;Retard non signale
REG-DRTP-C-2024-0020;DRTP-C;AUTH-TRAV;Autorisation travaux;Autorisation occupation temporaire domaine public;Normal;2024-08-14;2024-10-19;49;18;non;oui;Reception demande;39;Email sans suivi;
REG-DRTP-C-2024-0021;DRTP-C;AUTH-TRAV;Autorisation travaux;Raccordement reseau eau sur RN10 Mfoundi;Normal;2024-09-06;2024-10-26;42;18;non;non;Validation directeur DRTP;25;Email sans suivi;Absence visa intermediaire
REG-DRTP-C-2024-0022;DRTP-C;AUTH-TRAV;Autorisation travaux;Pose conduite telecoms en bordure voirie;Normal;2024-10-19;2024-12-12;43;18;oui;non;Validation directeur DRTP;17;Cahier transmission;Circuit incomplet sur registre
REG-DRTP-C-2024-0023;DRTP-C;AUTH-TRAV;Autorisation travaux;Ouverture tranchee entreprise ENEO secteur Lekie;Normal;2024-11-11;2024-12-22;33;18;non;non;Reception demande;30;Classeur Excel partage;Retard non signale
REG-DRTP-C-2024-0024;DRTP-C;AUTH-TRAV;Autorisation travaux;Autorisation franchissement canalisation;Urgent;2024-12-04;2024-01-05;23;18;oui;oui;Validation directeur DRTP;7;Cahier transmission;Absence visa intermediaire
REG-DRTP-C-2024-0025;DRTP-C;AUTH-TRAV;Autorisation travaux;Travaux raccordement station-service;Normal;2024-01-05;2024-03-10;49;18;oui;oui;Visite terrain;47;Registre papier courrier;Retard non signale
REG-DRTP-C-2024-0026;DRTP-C;AUTH-TRAV;Autorisation travaux;Installation panneaux publicitaires bord route;Normal;2024-02-08;2024-03-27;41;18;non;oui;Visite terrain;14;Classeur Excel partage;Dossier revenu en arriere sans trace
REG-DRTP-C-2024-0027;DRTP-C;AUTH-TRAV;Autorisation travaux;Pose fibre optique quartier administratif;Normal;2024-03-12;2024-04-18;28;18;oui;oui;Reception demande;10;Cahier transmission;Circuit incomplet sur registre
REG-DRTP-C-2024-0028;DRTP-C;AUTH-TRAV;Autorisation travaux;Deviation provisoire circulation chantier;Urgent;2024-04-03;2024-05-17;36;18;non;oui;Visite terrain;15;Email sans suivi;
REG-DRTP-C-2024-0029;DRTP-C;AUTH-TRAV;Autorisation travaux;Travaux assainissement bordure chaussee;Normal;2024-05-17;2024-07-09;42;18;non;non;Delivrance autorisation;28;Email sans suivi;Absence visa intermediaire
REG-DRTP-C-2024-0030;DRTP-C;AUTH-TRAV;Autorisation travaux;Autorisation occupation temporaire domaine public;Urgent;2024-06-09;2024-08-12;47;18;non;oui;Reception demande;16;Registre papier courrier;Circuit incomplet sur registre
